Группа	Тег	Режим	Примечание
Армирование	углерод	contains	углеродное волокно/ткань (часть слова: углерод-)
Армирование	угле	contains	разговорное сокращение (угле-)
Армирование	carbon	contains	англ. carbon
Армирование	карбон	contains	транслит (карбон)
Армирование	стеклоткан	contains	стеклоткань / стеклоткан-
Армирование	стекломат	contains	стекломат
Армирование	стекловолок	contains	стекловолокно / стекловолок-
Армирование	glass	contains	англ. glass (в контексте тканей/волокна)
Армирование	арамид	contains	арамид
Армирование	kevlar	contains	англ. Kevlar
Армирование	кевлар	contains	рус. кевлар
Армирование	базальт	contains	базальтовое волокно/ткань
Армирование	basalt	contains	англ. basalt (fiber/fabric)
Армирование	ровинг	contains	ровинг
Армирование	tows	contains	англ. tow(s) (пучки волокон)
Армирование	tow	contains	англ. tow
Армирование	fiber	contains	англ. fiber (часто в описаниях тканей/армирования)
Армирование	fibre	contains	англ. fibre (брит. написание)
Связующее/смолы/отвердители	эпокс	contains	эпоксид/эпоксидная/эпоксидное
Связующее/смолы/отвердители	epoxy	contains	англ. epoxy
Связующее/смолы/отвердители	resin	contains	англ. resin (смола)
Связующее/смолы/отвердители	смола	contains	смола
Связующее/смолы/отвердители	binder	contains	англ. binder (связующее)
Связующее/смолы/отвердители	matrix	contains	англ. matrix (матрица)
Связующее/смолы/отвердители	отверд	contains	отвердитель/отверждение/отверд-
Связующее/смолы/отвердители	hardener	contains	англ. hardener (отвердитель)
Связующее/смолы/отвердители	curing	contains	англ. curing (отверждение)
Связующее/смолы/отвердители	larit	contains	Larit (пример: L285, L287)
Связующее/смолы/отвердители	l 285	contains	вариант записи Larit L285 через пробел
Связующее/смолы/отвердители	l285	contains	вариант записи L285 без пробела
Связующее/смолы/отвердители	l 287	contains	вариант записи Larit L287 через пробел
Связующее/смолы/отвердители	l287	contains	вариант записи L287 без пробела
Связующее/смолы/отвердители	l-285	contains	вариант записи L-285
Связующее/смолы/отвердители	l-287	contains	вариант записи L-287
Связующее/смолы/отвердители	285	regex	осторожный признак: только вместе с Larit/L (используйте в коде как доп. правило)
Связующее/смолы/отвердители	287	regex	осторожный признак: только вместе с Larit/L (используйте в коде как доп. правило)
Полуфабрикаты/структура	prepreg	contains	англ. препрег
Полуфабрикаты/структура	препрег	contains	препрег
Полуфабрикаты/структура	ud	regex	UD как отдельный токен (однонаправленное армирование)
Полуфабрикаты/структура	однонаправ	contains	однонаправленная
Полуфабрикаты/структура	unidirectional	contains	англ. однонаправленная (unidirectional)
Полуфабрикаты/структура	twill	contains	саржа (twill weave)
Полуфабрикаты/структура	plain	contains	полотняное переплетение (plain)
Полуфабрикаты/структура	satin	contains	сатиновое переплетение (satin)
Полуфабрикаты/структура	weave	contains	англ. weave (переплетение)
Полуфабрикаты/структура	fabric	contains	англ. fabric (ткань)
Полуфабрикаты/структура	ткань	contains	слово 'ткань' (в сочетании с углерод/стекло и т.п.)
Полуфабрикаты/структура	biax	contains	биаксиальная (biax)
Полуфабрикаты/структура	triax	contains	триаксиальная (triax)
Полуфабрикаты/структура	quadrax	contains	квадракс (quadrax)
Полуфабрикаты/структура	±45	contains	ориентация слоёв ±45
Полуфабрикаты/структура	0/90	contains	ориентация слоёв 0/90
Размерность/плотность	г/м2	contains	русская запись поверхностной плотности ткани
Размерность/плотность	г/м^2	contains	вариант с ^
Размерность/плотность	г/м²	contains	вариант со знаком ²
Размерность/плотность	gsm	contains	англ. грамм на квадратный метр
Размерность/плотность	g/m2	contains	англ. g/m2
Размерность/плотность	g/m^2	contains	англ. g/m^2
Размерность/плотность	g/m²	contains	англ. g/m²
Размерность/плотность	\b\d{2,4}\s*г/м	regex	число + г/м (например: 200 г/м2)
Размерность/плотность	\b\d{2,4}\s*gsm\b	regex	число + gsm (например: 200 gsm)
Бренды/коммерческие обозначения	aeroglass	contains	пример из ваших строк: AEROGLASS
Бренды/коммерческие обозначения	hexcel	contains	Hexcel
Бренды/коммерческие обозначения	toray	contains	Toray
Бренды/коммерческие обозначения	gurit	contains	Gurit
Бренды/коммерческие обозначения	saertex	contains	SAERTEX
Бренды/коммерческие обозначения	zylon	contains	Zylon (PBO)
Бренды/коммерческие обозначения	t700	contains	часто как марка волокна (Toray T700)
Бренды/коммерческие обозначения	t800	contains	часто как марка волокна (Toray T800)
