Тип	Марка	Примечание
Сталь	Ст3сп	углеродистая обыкновенного качества (сварная)
Сталь	Ст3пс	углеродистая обыкновенного качества (полуспокойная)
Сталь	Ст20	углеродистая конструкционная качественная
Сталь	Ст35	углеродистая конструкционная качественная
Сталь	Ст45	углеродистая конструкционная качественная
Сталь	10	углеродистая конструкционная качественная
Сталь	20Г	марганцовистая конструкционная
Сталь	09Г2С	низколегированная конструкционная (сварная)
Сталь	10ХСНД	атмосферостойкая низколегированная
Сталь	15Х	легированная конструкционная
Сталь	20Х	легированная конструкционная (цементация)
Сталь	30ХГСА	высокопрочная конструкционная (авиац.)
Сталь	38Х2МЮА	нитрируемая конструкционная
Сталь	40Х	легированная конструкционная
Сталь	40ХН	легированная конструкционная
Сталь	40ХНМА	легированная конструкционная (повышенной прочности)
Сталь	20ХН3А	цементуемая легированная
Сталь	12ХН3А	цементуемая легированная
Сталь	ШХ15	подшипниковая
Сталь	65Г	пружинная
Сталь	60С2А	пружинная
Сталь	55С2	пружинная
Сталь	У8А	инструментальная углеродистая
Сталь	У10А	инструментальная углеродистая
Сталь	9ХС	инструментальная легированная
Сталь	Х12МФ	инструментальная штамповая
Сталь	Р6М5	быстрорежущая
Сталь	12Х18Н10Т	коррозионно-стойкая аустенитная
Сталь	08Х18Н10	коррозионно-стойкая аустенитная
Сталь	95Х18	коррозионно-стойкая (ножевые/подшипн. узлы)
Алюминиевые сплавы	АД0	алюминий деформируемый (технически чистый)
Алюминиевые сплавы	АД1	алюминий деформируемый
Алюминиевые сплавы	А5	алюминий высокой чистоты (по маркам алюминия)
Алюминиевые сплавы	А7	алюминий высокой чистоты (по маркам алюминия)
Алюминиевые сплавы	АМц	Al-Mn деформируемый
Алюминиевые сплавы	АМцС	Al-Mn деформируемый (модификация)
Алюминиевые сплавы	АМг1	Al-Mg деформируемый
Алюминиевые сплавы	АМг2	Al-Mg деформируемый
Алюминиевые сплавы	АМг3	Al-Mg деформируемый
Алюминиевые сплавы	АМг5	Al-Mg деформируемый
Алюминиевые сплавы	АМг5П	Al-Mg деформируемый (повышенные св-ва)
Алюминиевые сплавы	АМг6	Al-Mg деформируемый (широко в авиастр.)
Алюминиевые сплавы	АМг61	Al-Mg деформируемый
Алюминиевые сплавы	АД31	Al-Mg-Si (пресс-профили)
Алюминиевые сплавы	АД33	Al-Mg-Si (пресс-профили)
Алюминиевые сплавы	АД35	Al-Mg-Si (пресс-профили)
Алюминиевые сплавы	АВ	авиаль (Al-Mg-Si)
Алюминиевые сплавы	Д1	дуралюмин
Алюминиевые сплавы	Д16	дуралюмин (аналоги 2xxx)
Алюминиевые сплавы	Д16Т	Д16 после ТО (Т)
Алюминиевые сплавы	Д16АТ	Д16 плакированный (АТ)
Алюминиевые сплавы	В95	высокопрочный (авиац.)
Алюминиевые сплавы	В95Т1	В95 после ТО (Т1)
Алюминиевые сплавы	В96	высокопрочный (авиац.)
Алюминиевые сплавы	АК4	ковочный алюминиевый (поковки)
Алюминиевые сплавы	АК4-1	ковочный алюминиевый (лист/поковки)
Алюминиевые сплавы	АК6	ковочный алюминиевый
Алюминиевые сплавы	АК8	ковочный алюминиевый
Алюминиевые сплавы	АЛ4	литейный силумин
Алюминиевые сплавы	АЛ9	литейный силумин
Медные сплавы	М0б	медь (очень высокая чистота)
Медные сплавы	М1	медь
Медные сплавы	М2	медь
Медные сплавы	Л63	латунь двойная (Cu-Zn)
Медные сплавы	Л68	латунь двойная (Cu-Zn)
Медные сплавы	Л70	латунь двойная
Медные сплавы	Л75	латунь двойная
Медные сплавы	Л96	латунь высокомедистая
Медные сплавы	ЛС59-1	латунь свинцовистая (обрабатываемость)
Медные сплавы	ЛС63-3	латунь свинцовистая
Медные сплавы	ЛО70-1	латунь оловянистая
Медные сплавы	ЛО62-1	латунь оловянистая
Медные сплавы	БрОФ6.5-0.15	бронза оловянно-фосфористая
Медные сплавы	БрОЦС5-5-5	бронза олов.-цинк.-свинц.
Медные сплавы	БрО8С12	бронза оловянно-свинцовая
Медные сплавы	БрО10	бронза оловянная
Медные сплавы	БрО5Ц5С5	бронза олов.-цинк.-свинц.
Медные сплавы	БрАЖ9-4	бронза алюминиево-железистая
Медные сплавы	БрАЖН10-4-4	бронза алюминиево-железо-никелевая
Медные сплавы	БрАМц9-2	бронза алюминиево-марганцевая
Медные сплавы	БрБ2	бронза бериллиевая
Медные сплавы	БрКМц3-1	бронза кремнемарганцевая
Медные сплавы	БрХ1	бронза хромистая
Медные сплавы	БрС30	бронза свинцовая (антифрикц.)
Медные сплавы	МН19	мельхиор (Cu-Ni)
Медные сплавы	МНЖ5-1	медь-никель-железо
Медные сплавы	МНЖМц30-1-1	медь-никель-железо-марганец
Медные сплавы	МН25	мельхиор (Cu-Ni)
Медные сплавы	НМц40-1,5	нейзильбер (Cu-Ni-Zn)
Медные сплавы	НМц65-25	нейзильбер (Cu-Ni-Zn)
Титановые сплавы	ВТ1-0	технически чистый титан (деформируемый)
Титановые сплавы	ВТ1-00	технически чистый титан (повыш. чистота)
Титановые сплавы	ОТ4	титановый свариваемый
Титановые сплавы	ОТ4-0	модификация ОТ4
Титановые сплавы	ОТ4-1	модификация ОТ4
Титановые сплавы	ВТ5	α-сплав
Титановые сплавы	ВТ5-1	α-сплав (свариваемый)
